[864468]: 344ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:722 CSpxAudioStreamSession::AddRecognizer
[864468]: 344ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024EF5386F40
[864468]: 344ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0000024EF5386F40, p=0x0000024EF5386F40, tot=1
[864468]: 344ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:332 recognizer_create_translation_recognizer_from_config
[864468]: 345ms SPX_TRACE_VERBOSE recognizer.cs:120 Constructor for 24ef5386f40
[864468]: 347ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024EF5387488
[864468]: 347ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0000024EF5387488, p=0x0000024EF5387488, tot=3
[864468]: 348ms SPX_DBG_TRACE_SCOPE_ENTER:  connection.cpp:21 CSpxConnection::CSpxConnection
[864468]: 348ms SPX_DBG_TRACE_SCOPE_EXIT:  connection.cpp:21 CSpxConnection::CSpxConnection
[864468]: 348ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxConnection' as '604236279'
[864468]: 348ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024ED1130B00
[864468]: 348ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxConnection, h=0x0000024ED1130B00, p=0x0000024ED1130B00, tot=1
[864468]: 348ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024ED1130B30
[864468]: 348ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0000024ED1130B30, p=0x0000024ED1130B30, tot=4
[569230]: 359ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5387488; name='SPEECH-RecoMode'; value=''
[569230]: 359ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0000024EF526C478; name='SPEECH-RecoMode'; value='CONVERSATION'
[569230]: 359ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1117 CSpxAudioStreamSession::StartRecognitionAsync
[569230]: 359ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024EF53970E0
[569230]: 359ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x0000024EF53970E0, p=0x0000024EF53970E0, tot=1
[951054]: 359ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1120 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[951054]: 360ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [697033ll]
[697033]: 360ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1177 CSpxAudioStreamSession::StartRecognizing
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1178 [0000024EF526C390]CSpxAudioStreamSession::StartRecognizing
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3583 [0000024EF526C390]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1220 [0000024EF526C390]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[697033]: 360ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3164 CSpxAudioStreamSession::StartAudioPump
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3165 [0000024EF526C390]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [0000024EF5268340]
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1447 [0000024EF526C390]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1458 [0000024EF526C390]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 3d0316bc38c64a3f939baa4f2f0f4786
[697033]: 360ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [7725ll]
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF526C478; name='SPEECH-SegmentationMaximumTimeMs'; value='0'
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF526C478; name='SPEECH-MaxBufferSizeMs'; value='66000'
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF526C478; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF526C478; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:106 [0000024EF5293E20] Is VAD Gating = 0, Is RNNT reco engine = 0, Is conversation transcriber = 0, Is meeting transcriber = 0, Is async transcriber  = 0, fastLane = 5000 msec (160000 bytes), maxDuration = 66000 msec, highDuration = 33000 msec, lowDuration = 5940 msec, lowRate = 100%, highRate = 200%
[697033]: 360ms SPX_DBG_TRACE_FUNCTION:  audio_buffer.cpp:92 PcmAudioBuffer::NewTurn
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0000024EF526C478; name='IsKeywordAndSpeechRecognizer'; value='false'
[697033]: 360ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2786 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:2790 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter EnsureResetEngineEngineAdapterComplete
[697033]: 360ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2896 CSpxAudioStreamSession::EnsureResetEngineEngineAdapterComplete
[697033]: 360ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2815 CSpxAudioStreamSession::InitRecoEngineAdapter
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspRecoEngineAdapterRetry_OffsetFixupWrapper' as '806006714'
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF526C478; name='SPEECH-Region'; value='eastus'
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0000024EF526C478; name='INTENT-region'; value='eastus'
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3251 [0000024EF526C390]CSpxAudioStreamSession::StartAudioPump: Starting pump[0000024EF5268340]...
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxBufferData' as '705421989'
[697033]: 360ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [0000024EF52352A0]CSpxBufferData::EnsureInitRingBuffer - Init
[7725]: 360ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1725 DispatchEvent task started...
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[7725]: 360ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxSessionEventArgs' as '418547108'
[697033]: 360ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF526C478; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[7725]: 360ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024ED10C4450
[7725]: 361ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxSessionEventArgs, h=0x0000024ED10C4450, p=0x0000024ED10C4450, tot=1
[697033]: 361ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF526C478; name='AudioConfig_SampleRateForCapture'; value='16000'
[697033]: 361ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF526C478; name='AudioConfig_BitsPerSampleForCapture'; value='16'
