[954103]: 335ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:722 CSpxAudioStreamSession::AddRecognizer
[954103]: 335ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000016E74BE7600
[954103]: 335ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0000016E74BE7600, p=0x0000016E74BE7600, tot=1
[954103]: 335ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:332 recognizer_create_translation_recognizer_from_config
[954103]: 336ms SPX_TRACE_VERBOSE recognizer.cs:120 Constructor for 16e74be7600
[954103]: 338ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000016E74BE7B48
[954103]: 338ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0000016E74BE7B48, p=0x0000016E74BE7B48, tot=3
[954103]: 339ms SPX_DBG_TRACE_SCOPE_ENTER:  connection.cpp:21 CSpxConnection::CSpxConnection
[954103]: 339ms SPX_DBG_TRACE_SCOPE_EXIT:  connection.cpp:21 CSpxConnection::CSpxConnection
[954103]: 339ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxConnection' as '604236279'
[954103]: 339ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000016E74ADBFE0
[954103]: 339ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxConnection, h=0x0000016E74ADBFE0, p=0x0000016E74ADBFE0, tot=1
[954103]: 339ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000016E74ADC010
[954103]: 339ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0000016E74ADC010, p=0x0000016E74ADC010, tot=4
[867048]: 347ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000016E74BE7B48; name='SPEECH-RecoMode'; value=''
[867048]: 347ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0000016E74A9B2B8; name='SPEECH-RecoMode'; value='CONVERSATION'
[867048]: 347ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1117 CSpxAudioStreamSession::StartRecognitionAsync
[867048]: 348ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000016E74BEE8A0
[867048]: 348ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x0000016E74BEE8A0, p=0x0000016E74BEE8A0, tot=1
[810417]: 348ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1120 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[810417]: 348ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [713562ll]
[713562]: 348ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1177 CSpxAudioStreamSession::StartRecognizing
[713562]: 348ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1178 [0000016E74A9B1D0]CSpxAudioStreamSession::StartRecognizing
[713562]: 348ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3583 [0000016E74A9B1D0]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[713562]: 348ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1220 [0000016E74A9B1D0]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[713562]: 348ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3164 CSpxAudioStreamSession::StartAudioPump
[713562]: 348ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3165 [0000016E74A9B1D0]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [0000016E74A93F00]
[713562]: 348ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1447 [0000016E74A9B1D0]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[713562]: 348ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1458 [0000016E74A9B1D0]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 196d05ec3dee42cca895e742c94dd852
[713562]: 348ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [53692ll]
