[78358]: 44ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:722 CSpxAudioStreamSession::AddRecognizer
[78358]: 44ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000019070F5FAC8; name='UnsupportedV2ServiceProperties'; value=''
[78358]: 45ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000019070F5F580
[78358]: 45ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0000019070F5F580, p=0x0000019070F5F580, tot=1
[78358]: 45ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:213 recognizer_create_speech_recognizer_from_source_lang_config
[78358]: 47ms SPX_TRACE_VERBOSE recognizer.cs:120 Constructor for 19070f5f580
[78358]: 47ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000019070F5FAC8
[78358]: 47ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0000019070F5FAC8, p=0x0000019070F5FAC8, tot=3
[78358]: 48ms SPX_DBG_TRACE_SCOPE_ENTER:  connection.cpp:21 CSpxConnection::CSpxConnection
[78358]: 48ms SPX_DBG_TRACE_SCOPE_EXIT:  connection.cpp:21 CSpxConnection::CSpxConnection
[78358]: 48ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxConnection' as '604236279'
[78358]: 48ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001906ED5CC00
[78358]: 48ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxConnection, h=0x000001906ED5CC00, p=0x000001906ED5CC00, tot=1
[78358]: 48ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001906ED5CC30
[78358]: 48ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x000001906ED5CC30, p=0x000001906ED5CC30, tot=4
[69186]: 57ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000019070F5FAC8; name='SPEECH-RecoMode'; value=''
[69186]: 57ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0000019070EA2AC8; name='SPEECH-RecoMode'; value='CONVERSATION'
[69186]: 57ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1117 CSpxAudioStreamSession::StartRecognitionAsync
[69186]: 57ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001906EE166A0
[69186]: 57ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x000001906EE166A0, p=0x000001906EE166A0, tot=1
[537982]: 58ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1120 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[537982]: 58ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [324658ll]
[324658]: 59ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1177 CSpxAudioStreamSession::StartRecognizing
[324658]: 59ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1178 [0000019070EA29E0]CSpxAudioStreamSession::StartRecognizing
[324658]: 59ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3583 [0000019070EA29E0]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[324658]: 59ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1220 [0000019070EA29E0]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[324658]: 59ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3164 CSpxAudioStreamSession::StartAudioPump
[324658]: 59ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3165 [0000019070EA29E0]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [0000019070E726B0]
[324658]: 59ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1447 [0000019070EA29E0]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[324658]: 59ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1458 [0000019070EA29E0]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 62ddf7d7defe4a3099603f2728a6bf25
[324658]: 59ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [402264ll]
[324658]: 59ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000019070EA2AC8; name='SPEECH-SegmentationMaximumTimeMs'; value='0'
