[556697]: 417ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:722 CSpxAudioStreamSession::AddRecognizer
[556697]: 418ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024BEEA42FA0
[556697]: 418ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0000024BEEA42FA0, p=0x0000024BEEA42FA0, tot=1
[556697]: 418ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:332 recognizer_create_translation_recognizer_from_config
[556697]: 418ms SPX_TRACE_VERBOSE recognizer.cs:120 Constructor for 24beea42fa0
[556697]: 420ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024BEEA434E8
[556697]: 420ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0000024BEEA434E8, p=0x0000024BEEA434E8, tot=3
[556697]: 421ms SPX_DBG_TRACE_SCOPE_ENTER:  connection.cpp:21 CSpxConnection::CSpxConnection
[556697]: 421ms SPX_DBG_TRACE_SCOPE_EXIT:  connection.cpp:21 CSpxConnection::CSpxConnection
[556697]: 421ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxConnection' as '604236279'
[556697]: 421ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024BEE92BEF0
[556697]: 421ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxConnection, h=0x0000024BEE92BEF0, p=0x0000024BEE92BEF0, tot=1
[556697]: 421ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024BEE92BF20
[556697]: 421ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0000024BEE92BF20, p=0x0000024BEE92BF20, tot=4
[591464]: 429ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024BEEA434E8; name='SPEECH-RecoMode'; value=''
[591464]: 430ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0000024BEEA296F8; name='SPEECH-RecoMode'; value='CONVERSATION'
[591464]: 430ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1117 CSpxAudioStreamSession::StartRecognitionAsync
[591464]: 430ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024BEEA4F720
[591464]: 430ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x0000024BEEA4F720, p=0x0000024BEEA4F720, tot=1
